,label,pred,score
0,0,0,0.9597589373588562
1,1,0,0.9785082936286926
2,1,1,0.9508913159370422
3,0,0,0.9979984164237976
4,0,0,0.9843608736991882
5,0,1,0.9689599275588989
6,1,1,0.9651233553886414
7,0,0,0.9651756286621094
8,0,1,0.8422412276268005
9,1,0,0.9916301369667053
10,0,0,0.9979552030563354
11,1,1,0.9893060326576233
12,1,1,0.5846464037895203
13,1,1,0.9800947904586792
14,1,1,0.9941006302833557
15,0,0,0.9971417784690857
16,1,1,0.9885008335113525
17,0,0,0.997848391532898
18,0,0,0.6131388545036316
19,1,1,0.9802086353302002
