,label,pred,score
0,0,0,0.57463538646698
1,0,0,0.9927060008049011
2,0,1,0.958885669708252
3,1,1,0.8110299110412598
4,1,1,0.9697545766830444
5,1,1,0.9918845891952515
6,0,0,0.9911988377571106
7,0,0,0.9975276589393616
8,1,1,0.8450683951377869
9,0,0,0.9951948523521423
10,1,1,0.9941344857215881
11,1,0,0.7797836661338806
12,1,1,0.9524187445640564
13,1,1,0.9952915906906128
14,0,1,0.7970560789108276
15,1,1,0.9950531125068665
16,0,0,0.9954915642738342
17,0,1,0.9155604243278503
18,0,0,0.9713054895401001
19,0,0,0.9899118542671204
20,1,1,0.9924191236495972
21,0,0,0.9888080954551697
22,0,0,0.9535543322563171
23,1,1,0.9863025546073914
24,1,1,0.9542160630226135
25,0,0,0.9962312579154968
26,0,0,0.9925189018249512
27,1,1,0.8896241784095764
28,1,1,0.9962471127510071
29,0,0,0.9848442673683167
30,1,1,0.9399042725563049
31,1,1,0.9900452494621277
32,1,0,0.7747015953063965
33,1,1,0.6286154389381409
34,0,0,0.8754379749298096
35,1,1,0.8677834868431091
36,0,0,0.9872172474861145
37,0,0,0.9587416648864746
38,1,1,0.9825562238693237
39,1,1,0.9724522233009338
40,0,0,0.9975748658180237
41,0,0,0.9972700476646423
42,0,0,0.9548238515853882
43,0,1,0.9524911642074585
44,0,0,0.9948049187660217
45,1,1,0.9721552133560181
46,1,1,0.9940711855888367
47,0,0,0.9943886399269104
48,1,1,0.992432713508606
49,0,1,0.9349254369735718
50,0,0,0.9819860458374023
51,0,0,0.84703528881073
52,1,1,0.6911975741386414
53,0,0,0.9952715039253235
54,1,1,0.995857298374176
55,1,1,0.9834176898002625
56,0,0,0.9909572601318359
57,1,1,0.9777408838272095
58,1,1,0.9557190537452698
59,1,1,0.9679595232009888
60,0,0,0.9787718057632446
61,0,0,0.9970222115516663
62,1,1,0.9960983991622925
63,1,1,0.9634960293769836
64,0,0,0.9885165691375732
65,1,1,0.9929224252700806
66,0,0,0.9977487921714783
67,1,0,0.7037924528121948
68,0,1,0.9547456502914429
69,1,0,0.9861065149307251
70,1,1,0.9945960640907288
71,1,1,0.8835186958312988
72,0,0,0.9643880724906921
73,1,1,0.9935277104377747
74,0,1,0.9674990773200989
75,0,0,0.994175136089325
76,1,1,0.9963589310646057
77,0,0,0.9928111433982849
