,label,pred,score
0,0,1,0.5114747881889343
1,0,1,0.5114747881889343
2,0,1,0.5114747881889343
3,0,1,0.5114747881889343
4,0,0,0.5185500383377075
5,1,0,0.563779354095459
6,0,0,0.5185500383377075
7,1,1,0.5114747881889343
8,0,0,0.5317713022232056
9,1,1,0.5114747881889343
10,0,1,0.5114747881889343
11,0,1,0.5114747881889343
12,1,1,0.5114747881889343
13,1,0,0.6399902701377869
14,1,1,0.5114747881889343
15,0,1,0.5114747881889343
16,0,0,0.5260525941848755
17,1,0,0.6399902701377869
18,1,1,0.5114747285842896
19,0,1,0.5114747881889343
20,1,1,0.5114747881889343
21,1,0,0.5268904566764832
22,1,1,0.5114747881889343
23,1,1,0.5114747881889343
24,0,1,0.5114747881889343
25,1,0,0.5262338519096375
26,1,0,0.5185500383377075
27,0,1,0.5114747881889343
28,0,1,0.5114747881889343
29,0,0,0.5809944272041321
30,1,0,0.563779354095459
31,0,1,0.5360970497131348
32,1,0,0.5102827548980713
33,0,1,0.5114747881889343
34,1,0,0.5900375843048096
35,1,1,0.5213868021965027
36,1,1,0.5114747881889343
37,1,1,0.5114747881889343
38,0,1,0.5114747881889343
39,1,1,0.5114747881889343
40,0,1,0.5114747881889343
41,0,1,0.5114747881889343
42,1,1,0.5114747881889343
43,1,1,0.5114747881889343
44,1,1,0.5114747881889343
45,0,1,0.5114747881889343
46,0,0,0.5809944272041321
47,1,1,0.5114747881889343
48,0,1,0.5114747881889343
49,0,1,0.5114747881889343
50,1,1,0.5114747881889343
51,0,1,0.5114747881889343
52,0,0,0.5321068167686462
53,0,1,0.5114747881889343
54,1,1,0.5114747881889343
55,1,1,0.5114747881889343
56,1,1,0.5114747881889343
57,0,1,0.5114747881889343
58,1,1,0.5213868021965027
59,0,1,0.5114747881889343
60,1,1,0.5114747881889343
61,0,0,0.5088338255882263
