,label,pred,score
0,0,0,0.9572485089302063
1,1,1,0.9848575592041016
2,1,1,0.8769763708114624
3,1,1,0.9187331795692444
4,0,0,0.9900625348091125
5,1,1,0.9344774484634399
6,1,1,0.8987908363342285
7,0,0,0.9875547289848328
8,0,1,0.5870278477668762
9,0,0,0.9848979115486145
10,0,0,0.9750899076461792
11,1,1,0.9844123721122742
12,0,0,0.9862680435180664
13,1,1,0.5418703556060791
14,1,0,0.7233975529670715
15,1,1,0.866840660572052
16,0,1,0.9787877202033997
17,0,1,0.7207437753677368
18,1,1,0.9641212821006775
19,1,1,0.9173226356506348
20,1,0,0.5466713905334473
21,1,1,0.6536886096000671
22,0,0,0.9908965229988098
23,0,1,0.9853996634483337
24,1,0,0.8662219643592834
25,0,1,0.9404309988021851
26,0,0,0.8747896552085876
27,1,1,0.9668708443641663
28,1,1,0.9596362113952637
29,0,0,0.9896144270896912
30,0,0,0.9835954904556274
31,0,0,0.9874224662780762
