,label,pred,score
0,0,1,0.6851709485054016
1,0,1,0.6178967952728271
2,1,1,0.5980194807052612
3,1,0,0.5763589143753052
4,0,0,0.5763589143753052
5,0,1,0.5980194807052612
6,1,0,0.5763589143753052
7,0,0,0.5763589143753052
8,1,0,0.5763589143753052
9,1,0,0.5763589143753052
10,1,0,0.5763589143753052
11,1,0,0.5763589143753052
12,0,0,0.5763589143753052
13,1,0,0.5763589143753052
14,1,1,0.6726616621017456
15,0,1,0.6232759952545166
16,0,1,0.6176398396492004
17,1,0,0.5763589143753052
18,0,0,0.5763589143753052
19,0,0,0.5763589143753052
20,1,0,0.5763589143753052
21,0,0,0.5763589143753052
22,1,1,0.6176398396492004
23,0,0,0.5763589143753052
24,1,0,0.5763589143753052
25,1,0,0.5763589143753052
26,0,1,0.5872068405151367
27,0,0,0.5763589143753052
28,1,1,0.61629718542099
29,0,0,0.5763589143753052
30,0,0,0.5763589143753052
31,1,1,0.6176398396492004
