,encoder,data,enhance_type,enhance_llm,metrics,stat,p
0,CodeBERT,EBT,req,Claude3,accuracy,4.5,0.5
1,CodeBERT,EBT,req,Claude3,precision,5.0,0.5625
2,CodeBERT,EBT,req,Claude3,recall,0.0,0.5
3,CodeBERT,EBT,req,Claude3,f1,3.0,0.3125
4,CodeBERT,EBT,req,Claude3,f2,1.0,0.125
5,CodeBERT,EBT,req,Gemini,accuracy,6.0,1.0
6,CodeBERT,EBT,req,Gemini,precision,6.0,1.0
7,CodeBERT,EBT,req,Gemini,recall,0.0,0.125
8,CodeBERT,EBT,req,Gemini,f1,0.0,0.125
9,CodeBERT,EBT,req,Gemini,f2,0.0,0.125
10,CodeBERT,EBT,req,GPT3.5,accuracy,5.0,0.6875
11,CodeBERT,EBT,req,GPT3.5,precision,7.5,0.5625
12,CodeBERT,EBT,req,GPT3.5,recall,3.0,0.625
13,CodeBERT,EBT,req,GPT3.5,f1,7.5,0.5625
14,CodeBERT,EBT,req,GPT3.5,f2,6.5,0.4375
15,CodeBERT,EBT,req,GPT-4o,accuracy,0.0,0.25
16,CodeBERT,EBT,req,GPT-4o,precision,4.0,0.4375
17,CodeBERT,EBT,req,GPT-4o,recall,0.0,0.125
18,CodeBERT,EBT,req,GPT-4o,f1,0.0,0.0625
19,CodeBERT,EBT,req,GPT-4o,f2,0.0,0.0625
20,CodeBERT,EBT,code,Claude3,accuracy,1.0,1.0
21,CodeBERT,EBT,code,Claude3,precision,4.5,0.875
22,CodeBERT,EBT,code,Claude3,recall,2.0,0.5
23,CodeBERT,EBT,code,Claude3,f1,1.5,0.75
24,CodeBERT,EBT,code,Claude3,f2,2.5,0.5
25,CodeBERT,EBT,code,Gemini,accuracy,0.0,0.25
26,CodeBERT,EBT,code,Gemini,precision,4.0,0.25
27,CodeBERT,EBT,code,Gemini,recall,2.0,0.25
28,CodeBERT,EBT,code,Gemini,f1,1.5,0.09375
29,CodeBERT,EBT,code,Gemini,f2,3.5,0.1875
30,CodeBERT,EBT,code,GPT3.5,accuracy,2.0,0.5
31,CodeBERT,EBT,code,GPT3.5,precision,7.0,0.5
32,CodeBERT,EBT,code,GPT3.5,recall,4.0,0.5
33,CodeBERT,EBT,code,GPT3.5,f1,7.0,0.5
34,CodeBERT,EBT,code,GPT3.5,f2,6.0,0.375
35,CodeBERT,EBT,code,GPT-4o,accuracy,1.5,0.375
36,CodeBERT,EBT,code,GPT-4o,precision,2.5,0.5
37,CodeBERT,EBT,code,GPT-4o,recall,0.0,0.5
38,CodeBERT,EBT,code,GPT-4o,f1,1.5,0.375
39,CodeBERT,EBT,code,GPT-4o,f2,1.5,0.375
40,CodeBERT,EBT,req(example),Claude3,accuracy,6.0,0.4375
41,CodeBERT,EBT,req(example),Claude3,precision,6.0,0.40625
42,CodeBERT,EBT,req(example),Claude3,recall,2.0,0.5
43,CodeBERT,EBT,req(example),Claude3,f1,5.0,0.3125
44,CodeBERT,EBT,req(example),Claude3,f2,5.0,0.3125
45,CodeBERT,EBT,req(example),Gemini,accuracy,0.0,0.125
46,CodeBERT,EBT,req(example),Gemini,precision,0.0,0.125
47,CodeBERT,EBT,req(example),Gemini,recall,0.0,0.125
48,CodeBERT,EBT,req(example),Gemini,f1,0.0,0.125
49,CodeBERT,EBT,req(example),Gemini,f2,0.0,0.125
50,CodeBERT,EBT,req(example),GPT3.5,accuracy,0.0,0.125
51,CodeBERT,EBT,req(example),GPT3.5,precision,3.0,0.15625
52,CodeBERT,EBT,req(example),GPT3.5,recall,9.0,0.8125
53,CodeBERT,EBT,req(example),GPT3.5,f1,6.0,0.40625
54,CodeBERT,EBT,req(example),GPT3.5,f2,7.0,0.5
55,CodeBERT,EBT,req(example),GPT-4o,accuracy,9.5,0.78125
56,CodeBERT,EBT,req(example),GPT-4o,precision,9.0,0.6875
57,CodeBERT,EBT,req(example),GPT-4o,recall,4.0,0.5
58,CodeBERT,EBT,req(example),GPT-4o,f1,5.0,0.5625
59,CodeBERT,EBT,req(example),GPT-4o,f2,5.0,0.3125
60,CodeBERT,EBT,code(example),Claude3,accuracy,4.0,0.5
61,CodeBERT,EBT,code(example),Claude3,precision,5.0,0.5625
62,CodeBERT,EBT,code(example),Claude3,recall,1.5,0.75
63,CodeBERT,EBT,code(example),Claude3,f1,5.0,0.5625
64,CodeBERT,EBT,code(example),Claude3,f2,6.0,0.6875
